,State Name,County Name,Mean_Annual_AQI
0,Alabama,Baldwin,38.291512915129154
1,Alabama,Clay,31.149532710280372
2,Alabama,Colbert,35.52091254752852
3,Alabama,DeKalb,39.71191135734072
4,Alabama,Elmore,38.421052631578945
5,Alabama,Etowah,41.666666666666664
6,Alabama,Houston,35.58571428571429
7,Alabama,Jefferson,55.04931506849315
8,Alabama,Lawrence,23.313725490196077
9,Alabama,Madison,42.39612188365651
10,Alabama,Mobile,40.73626373626374
11,Alabama,Montgomery,50.26575342465753
12,Alabama,Morgan,39.06301369863014
13,Alabama,Russell,40.42699724517907
14,Alabama,Shelby,31.298050139275766
15,Alabama,Sumter,31.844875346260388
16,Alabama,Tuscaloosa,35.621212121212125
17,Alaska,Aleutians East ,12.65
18,Alaska,Anchorage ,34.3041095890411
19,Alaska,Bethel ,15.088328075709779
20,Alaska,Denali ,34.286908077994426
21,Alaska,Fairbanks North Star ,54.49315068493151
22,Alaska,Juneau ,25.73204419889503
23,Alaska,Kenai Peninsula ,9.183333333333334
24,Alaska,Matanuska-Susitna ,27.68888888888889
25,Alaska,North Slope ,6.254901960784314
26,Arizona,Apache,11.668523676880223
27,Arizona,Cochise,47.29041095890411
28,Arizona,Coconino,46.846575342465755
29,Arizona,Gila,67.18356164383562
30,Arizona,La Paz,44.1978021978022
31,Arizona,Maricopa,69.81917808219178
32,Arizona,Mohave,14.851648351648352
33,Arizona,Navajo,44.512328767123286
34,Arizona,Pima,50.45205479452055
35,Arizona,Pinal,80.17808219178082
36,Arizona,Santa Cruz,35.994475138121544
37,Arizona,Yavapai,44.16011235955056
38,Arizona,Yuma,47.64109589041096
39,Arkansas,Arkansas,32.144067796610166
40,Arkansas,Ashley,33.516666666666666
41,Arkansas,Benton,36.54109589041096
42,Arkansas,Clark,33.03661971830986
43,Arkansas,Craighead,30.918367346938776
44,Arkansas,Crittenden,41.654794520547945
45,Arkansas,Garland,36.049586776859506
46,Arkansas,Jackson,33.07692307692308
47,Arkansas,Newton,36.46027397260274
48,Arkansas,Polk,40.16620498614959
49,Arkansas,Pulaski,45.84931506849315
50,Arkansas,Union,36.7344398340249
51,Arkansas,Washington,43.087671232876716
52,California,Alameda,45.93150684931507
53,California,Amador,40.27605633802817
54,California,Butte,49.224657534246575
55,California,Calaveras,42.95
56,California,Colusa,40.95616438356164
57,California,Contra Costa,44.75890410958904
58,California,Del Norte,22.592741935483872
59,California,El Dorado,46.97534246575343
60,California,Fresno,70.0986301369863
61,California,Glenn,41.49171270718232
62,California,Humboldt,28.46005509641873
63,California,Imperial,62.98082191780822
64,California,Inyo,56.46027397260274
65,California,Kern,77.57260273972602
66,California,Kings,64.76986301369863
67,California,Lake,31.858333333333334
68,California,Los Angeles,81.92054794520548
69,California,Madera,54.728767123287675
70,California,Marin,34.86501377410468
71,California,Mariposa,55.47123287671233
72,California,Mendocino,34.26315789473684
73,California,Merced,52.18082191780822
74,California,Mono,80.21643835616439
75,California,Monterey,38.45479452054794
76,California,Napa,36.57575757575758
77,California,Nevada,47.75069252077562
78,California,Orange,54.64931506849315
79,California,Placer,52.28493150684932
80,California,Plumas,35.48093841642229
81,California,Riverside,87.42739726027398
82,California,Sacramento,53.0
83,California,San Benito,40.32876712328767
84,California,San Bernardino,95.2904109589041
85,California,San Diego,66.21917808219177
86,California,San Francisco,37.72054794520548
87,California,San Joaquin,51.88219178082192
88,California,San Luis Obispo,50.24109589041096
89,California,San Mateo,36.37260273972603
90,California,Santa Barbara,46.01917808219178
91,California,Santa Clara,45.512328767123286
92,California,Santa Cruz,35.915068493150685
93,California,Shasta,42.67307692307692
94,California,Siskiyou,38.18356164383562
95,California,Solano,43.295890410958904
96,California,Sonoma,35.536986301369865
