,State Name,County Name,Mean_Annual_AQI,Month,Day
0,Alabama,Baldwin,42.056179775280896,3.9887640449438204,16.078651685393258
1,Alabama,Clay,30.785714285714285,4.0,16.5
2,Alabama,Colbert,39.16304347826087,4.0,15.83695652173913
3,Alabama,DeKalb,43.32954545454545,4.045454545454546,15.556818181818182
4,Alabama,Elmore,40.93258426966292,4.033707865168539,15.820224719101123
5,Alabama,Etowah,45.141304347826086,4.0,15.83695652173913
6,Alabama,Houston,41.233333333333334,4.0,15.566666666666666
7,Alabama,Jefferson,55.94565217391305,4.0,15.83695652173913
8,Alabama,Lawrence,23.193548387096776,3.967741935483871,16.322580645161292
9,Alabama,Madison,48.98913043478261,4.0,15.83695652173913
10,Alabama,Mobile,45.880434782608695,4.0,15.83695652173913
11,Alabama,Montgomery,51.71739130434783,4.0,15.83695652173913
12,Alabama,Morgan,44.73913043478261,4.0,15.83695652173913
13,Alabama,Russell,46.70652173913044,4.0,15.83695652173913
14,Alabama,Shelby,42.22826086956522,4.0,15.83695652173913
15,Alabama,Sumter,39.31521739130435,4.0,15.83695652173913
16,Alabama,Tuscaloosa,36.973333333333336,4.173333333333333,15.146666666666667
17,Alaska,Aleutians East ,10.935483870967742,3.967741935483871,16.322580645161292
18,Alaska,Anchorage ,31.08695652173913,4.0,15.83695652173913
19,Alaska,Bethel ,14.069767441860465,3.9302325581395348,15.744186046511627
20,Alaska,Denali ,41.824175824175825,3.989010989010989,15.76923076923077
21,Alaska,Fairbanks North Star ,39.75,4.0,15.83695652173913
22,Alaska,Juneau ,26.23076923076923,3.989010989010989,15.824175824175825
23,Alaska,Kenai Peninsula ,7.935483870967742,3.967741935483871,16.322580645161292
24,Alaska,Matanuska-Susitna ,18.554347826086957,4.0,15.83695652173913
25,Alaska,North Slope ,6.64,4.04,19.0
26,Arizona,Apache,11.032608695652174,4.0,15.83695652173913
27,Arizona,Cochise,56.141304347826086,4.0,15.83695652173913
28,Arizona,Coconino,49.641304347826086,4.0,15.83695652173913
29,Arizona,Gila,65.84782608695652,4.0,15.83695652173913
30,Arizona,La Paz,50.879120879120876,3.989010989010989,15.87912087912088
31,Arizona,Maricopa,71.71739130434783,4.0,15.83695652173913
32,Arizona,Mohave,13.58695652173913,4.0,15.83695652173913
33,Arizona,Navajo,48.141304347826086,4.0,15.83695652173913
34,Arizona,Pima,56.84782608695652,4.0,15.83695652173913
35,Arizona,Pinal,66.73913043478261,4.0,15.83695652173913
36,Arizona,Santa Cruz,28.130434782608695,4.0,15.83695652173913
37,Arizona,Yavapai,47.922222222222224,4.0,15.688888888888888
38,Arizona,Yuma,55.02173913043478,4.0,15.83695652173913
39,Arkansas,Arkansas,27.419354838709676,3.967741935483871,16.322580645161292
40,Arkansas,Ashley,29.2,4.0,16.033333333333335
41,Arkansas,Benton,36.90217391304348,4.0,15.83695652173913
42,Arkansas,Clark,38.52808988764045,4.0,15.97752808988764
43,Arkansas,Craighead,33.6,3.933333333333333,16.166666666666668
44,Arkansas,Crittenden,44.66304347826087,4.0,15.83695652173913
45,Arkansas,Garland,31.322580645161292,3.967741935483871,16.322580645161292
46,Arkansas,Jackson,28.93548387096774,3.967741935483871,16.322580645161292
47,Arkansas,Newton,41.369565217391305,4.0,15.83695652173913
48,Arkansas,Polk,46.355555555555554,3.977777777777778,15.522222222222222
49,Arkansas,Pulaski,44.119565217391305,4.0,15.83695652173913
50,Arkansas,Union,35.45652173913044,4.0,15.83695652173913
51,Arkansas,Washington,47.04347826086956,4.0,15.83695652173913
52,California,Alameda,43.19565217391305,4.0,15.83695652173913
53,California,Amador,39.20224719101124,4.01123595505618,15.674157303370787
54,California,Butte,44.0,4.0,15.83695652173913
55,California,Calaveras,39.619565217391305,4.0,15.83695652173913
56,California,Colusa,38.27173913043478,4.0,15.83695652173913
57,California,Contra Costa,42.108695652173914,4.0,15.83695652173913
58,California,Del Norte,12.310344827586206,3.9655172413793105,16.689655172413794
59,California,El Dorado,42.77173913043478,4.0,15.83695652173913
60,California,Fresno,51.891304347826086,4.0,15.83695652173913
61,California,Glenn,41.67391304347826,4.0,15.83695652173913
62,California,Humboldt,32.41304347826087,4.0,15.83695652173913
63,California,Imperial,63.82608695652174,4.0,15.83695652173913
64,California,Inyo,56.32608695652174,4.0,15.83695652173913
65,California,Kern,57.82608695652174,4.0,15.83695652173913
66,California,Kings,47.96739130434783,4.0,15.83695652173913
67,California,Lake,36.76923076923077,4.010989010989011,15.868131868131869
68,California,Los Angeles,61.108695652173914,4.0,15.83695652173913
69,California,Madera,46.119565217391305,4.0,15.83695652173913
70,California,Marin,36.81521739130435,4.0,15.83695652173913
71,California,Mariposa,46.391304347826086,4.0,15.83695652173913
72,California,Mendocino,34.20652173913044,4.0,15.83695652173913
73,California,Merced,44.95652173913044,4.0,15.83695652173913
74,California,Mono,102.34782608695652,4.0,15.83695652173913
75,California,Monterey,40.391304347826086,4.0,15.83695652173913
76,California,Napa,37.81521739130435,4.0,15.83695652173913
77,California,Nevada,42.09782608695652,4.0,15.83695652173913
78,California,Orange,49.81521739130435,4.0,15.83695652173913
79,California,Placer,49.42391304347826,4.0,15.83695652173913
80,California,Plumas,25.89887640449438,4.01123595505618,16.0561797752809
81,California,Riverside,75.83695652173913,4.0,15.83695652173913
82,California,Sacramento,48.15217391304348,4.0,15.83695652173913
83,California,San Benito,40.30434782608695,4.0,15.83695652173913
84,California,San Bernardino,71.92391304347827,4.0,15.83695652173913
85,California,San Diego,59.03260869565217,4.0,15.83695652173913
