,State Name,County Name,Mean_Annual_AQI,Month,Day
0,Arizona,Apache,7.709677419354839,3.0,16.0
1,Arizona,Cochise,14.451612903225806,3.0,16.0
2,Arizona,Coconino,43.064516129032256,3.0,16.0
3,Arizona,Gila,42.193548387096776,3.0,16.0
4,Arizona,La Paz,40.32258064516129,3.0,16.0
5,Arizona,Maricopa,36.03125,3.03125,15.53125
6,Arizona,Mohave,5.833333333333333,3.0,16.133333333333333
7,Arizona,Navajo,9.419354838709678,3.0,16.0
8,Arizona,Pima,26.774193548387096,3.0,16.0
9,Arizona,Pinal,42.833333333333336,3.0,16.5
10,Arizona,Santa Cruz,20.129032258064516,3.0,16.0
11,Arizona,Yavapai,42.096774193548384,3.0,16.0
12,Arizona,Yuma,39.87096774193548,3.0,16.0
13,Arkansas,Arkansas,27.9,3.0,15.1
14,Arkansas,Ashley,28.09090909090909,3.0,16.0
15,Arkansas,Crittenden,35.67741935483871,3.0,16.0
16,Arkansas,Garland,29.363636363636363,3.0,16.0
17,Arkansas,Jackson,29.454545454545453,3.0,16.0
18,Arkansas,Newton,35.67741935483871,3.0,16.0
19,Arkansas,Polk,35.96666666666667,3.0,16.333333333333332
20,Arkansas,Pulaski,39.375,3.03125,15.53125
21,Arkansas,Union,31.09090909090909,3.0,16.0
22,Arkansas,Washington,38.32258064516129,3.0,16.0
23,California,Colusa,10.25,4.0,2.5
24,California,Fresno,40.34426229508197,3.4918032786885247,15.754098360655737
25,California,Inyo,7.548387096774194,3.0,16.0
26,California,Kern,7.548387096774194,3.0,16.0
27,California,Kings,33.54838709677419,3.0,16.0
28,California,Nevada,40.26229508196721,3.4918032786885247,15.754098360655737
29,California,Plumas,47.81967213114754,3.4918032786885247,15.754098360655737
30,California,Riverside,26.19672131147541,3.4918032786885247,15.754098360655737
31,California,Santa Barbara,2.0,3.0,1.0
32,California,Ventura,39.45161290322581,3.0,16.0
33,Colorado,Adams,35.72093023255814,3.2790697674418605,13.348837209302326
