,State Name,County Name,Mean_Annual_AQI
145,Illinois,Macon,37.46666666666667
146,Illinois,Macoupin,5.1525423728813555
147,Illinois,Madison,48.80281690140845
148,Illinois,McHenry,33.24193548387097
149,Illinois,McLean,39.241379310344826
150,Illinois,Peoria,34.416666666666664
151,Illinois,Randolph,34.18333333333333
152,Illinois,Rock Island,35.63333333333333
153,Illinois,Saint Clair,22.640625
154,Illinois,Sangamon,31.17241379310345
155,Illinois,Tazewell,2.1166666666666667
156,Illinois,Wabash,1.5494505494505495
157,Illinois,Will,42.65
158,Illinois,Winnebago,36.28333333333333
159,Indiana,Allen,36.142857142857146
160,Indiana,Bartholomew,33.01136363636363
161,Indiana,Boone,28.74418604651163
162,Indiana,Brown,31.439560439560438
163,Indiana,Carroll,28.255555555555556
164,Indiana,Clark,37.747252747252745
165,Indiana,Delaware,32.56043956043956
166,Indiana,Dubois,32.8125
167,Indiana,Elkhart,34.61538461538461
168,Indiana,Floyd,28.791208791208792
169,Indiana,Gibson,3.2954545454545454
170,Indiana,Greene,31.824175824175825
171,Indiana,Hamilton,36.142857142857146
172,Indiana,Hendricks,27.934065934065934
173,Indiana,Henry,31.533333333333335
174,Indiana,Howard,34.9010989010989
175,Indiana,Knox,28.466666666666665
176,Indiana,LaPorte,34.604395604395606
177,Indiana,Lake,44.56043956043956
178,Indiana,Madison,34.92307692307692
179,Indiana,Marion,44.065934065934066
180,Indiana,Monroe,27.239436619718308
181,Indiana,Perry,31.45054945054945
182,Indiana,Porter,38.824175824175825
183,Indiana,Posey,29.096385542168676
184,Indiana,Shelby,27.36263736263736
185,Indiana,Spencer,31.258064516129032
186,Indiana,St. Joseph,36.989010989010985
187,Indiana,Sullivan,31.161290322580644
188,Indiana,Tippecanoe,50.5
189,Indiana,Vanderburgh,34.989010989010985
190,Indiana,Vigo,34.56043956043956
191,Indiana,Wabash,28.883333333333333
192,Indiana,Warrick,29.615384615384617
193,Indiana,Whitley,41.52307692307692
194,Iowa,Black Hawk,39.1900826446281
195,Iowa,Bremer,34.47540983606557
196,Iowa,Cerro Gordo,12.451612903225806
197,Iowa,Clinton,42.17355371900826
198,Iowa,Harrison,36.032786885245905
199,Iowa,Johnson,40.239669421487605
200,Iowa,Lee,35.096774193548384
201,Iowa,Linn,42.69421487603306
202,Iowa,Montgomery,35.421487603305785
203,Iowa,Muscatine,35.239669421487605
204,Iowa,Palo Alto,35.72727272727273
205,Iowa,Polk,35.553719008264466
206,Iowa,Pottawattamie,30.82758620689655
207,Iowa,Scott,47.16393442622951
208,Iowa,Van Buren,36.239669421487605
209,Iowa,Woodbury,29.419354838709676
210,Kentucky,Bell,31.0
211,Kentucky,Boyd,18.2
212,Kentucky,Campbell,31.636363636363637
213,Kentucky,Carter,18.0
214,Kentucky,Christian,36.3
215,Kentucky,Edmonson,27.62295081967213
216,Kentucky,Fayette,28.636363636363637
217,Kentucky,Hardin,27.727272727272727
218,Kentucky,Livingston,11.0
219,Kentucky,McCracken,13.5
220,Kentucky,Morgan,32.13333333333333
221,Kentucky,Perry,25.4
222,Kentucky,Pulaski,25.5
223,Kentucky,Trigg,29.71186440677966
224,Kentucky,Warren,31.727272727272727
225,Kentucky,Washington,30.583333333333332
226,Louisiana,Ascension,31.8
227,Louisiana,Bossier,29.10112359550562
228,Louisiana,Caddo,29.806818181818183
229,Louisiana,Calcasieu,40.0989010989011
230,Louisiana,East Baton Rouge,34.78260869565217
231,Louisiana,Iberville,34.7032967032967
232,Louisiana,Jefferson,34.54945054945055
233,Louisiana,Lafayette,34.40659340659341
234,Louisiana,Lafourche,37.043956043956044
235,Louisiana,Livingston,38.12222222222222
236,Louisiana,Orleans,24.108695652173914
237,Louisiana,Ouachita,30.604395604395606
238,Louisiana,Pointe Coupee,33.48351648351648
239,Louisiana,St. Bernard,38.417582417582416
240,Louisiana,St. Charles,11.516483516483516
241,Louisiana,St. James,29.175824175824175
242,Louisiana,St. John the Baptist,31.802197802197803
243,Louisiana,St. Martin,33.43333333333333
244,Louisiana,St. Tammany,34.7032967032967
245,Louisiana,West Baton Rouge,30.24175824175824
246,Maine,Androscoggin,20.5
247,Maine,Aroostook,35.64835164835165
248,Maine,Cumberland,41.83606557377049
249,Maine,Hancock,39.32786885245902
250,Maine,Kennebec,14.785714285714286
251,Maine,Oxford,38.870588235294115
252,Maine,Penobscot,32.85123966942149
253,Maine,Washington,37.98936170212766
254,Maine,York,40.89473684210526
255,Maryland,Allegany,1.8735632183908046
256,Maryland,Anne Arundel,14.135802469135802
257,Maryland,Baltimore,34.955555555555556
258,Maryland,Baltimore (City),29.337209302325583
259,Maryland,Calvert,36.32142857142857
260,Maryland,Carroll,36.464285714285715
261,Maryland,Cecil,27.204545454545453
262,Maryland,Charles,37.535714285714285
263,Maryland,Dorchester,33.651685393258425
264,Maryland,Frederick,36.07142857142857
265,Maryland,Garrett,34.522222222222226
266,Maryland,Harford,29.818181818181817
267,Maryland,Howard,28.674157303370787
268,Maryland,Kent,27.079545454545453
269,Maryland,Montgomery,25.94047619047619
270,Maryland,Prince George's,33.93181818181818
271,Maryland,Washington,33.625
272,Massachusetts,Barnstable,35.145833333333336
273,Massachusetts,Berkshire,40.11666666666667
274,Massachusetts,Bristol,45.06666666666667
275,Massachusetts,Dukes,36.516666666666666
276,Massachusetts,Essex,35.03333333333333
277,Massachusetts,Franklin,45.2
278,Massachusetts,Hampden,44.88333333333333
279,Massachusetts,Hampshire,39.6
280,Massachusetts,Middlesex,37.15
281,Massachusetts,Norfolk,31.9
282,Massachusetts,Plymouth,37.4
283,Massachusetts,Suffolk,38.47540983606557
284,Massachusetts,Worcester,41.01639344262295
285,Michigan,Monroe,13.533333333333333
286,Michigan,Tuscola,32.11666666666667
287,Michigan,Washtenaw,30.1
288,Michigan,Wexford,32.63333333333333
289,Minnesota,Saint Louis,32.771929824561404
290,Mississippi,Bolivar,34.97802197802198
291,Mississippi,DeSoto,35.26373626373626
292,Mississippi,Forrest,34.2093023255814
293,Mississippi,Hancock,31.65934065934066
294,Mississippi,Harrison,35.0989010989011
295,Mississippi,Hinds,42.619565217391305
296,Mississippi,Jackson,35.065934065934066
297,Mississippi,Lauderdale,32.903225806451616
298,Mississippi,Lee,32.064516129032256
299,Mississippi,Yalobusha,32.67857142857143
300,Montana,Cascade,21.2
301,Montana,Fergus,36.9
302,Montana,Flathead,36.86666666666667
303,Montana,Gallatin,19.39344262295082
304,Montana,Lewis and Clark,40.032786885245905
305,Montana,Lincoln,60.833333333333336
306,Montana,Missoula,56.11666666666667
307,Montana,Phillips,31.0
308,Montana,Powder River,34.45
309,Montana,Ravalli,10.1
310,Montana,Richland,33.166666666666664
311,Montana,Rosebud,34.81666666666667
312,Montana,Sanders,25.733333333333334
313,Montana,Silver Bow,21.183333333333334
314,Montana,Yellowstone,24.583333333333332
315,Nebraska,Cass,12.62809917355372
316,Nebraska,Douglas,32.83695652173913
317,Nebraska,Hall,17.281553398058254
318,Nebraska,Knox,31.333333333333332
319,Nebraska,Sarpy,30.337078651685392
320,Nebraska,Scotts Bluff,12.090909090909092
321,Nebraska,Washington,23.59259259259259
322,Nevada,Clark,51.71739130434783
323,Nevada,Washoe,42.21311475409836
324,Nevada,White Pine,41.03333333333333
325,New Hampshire,Grafton,32.63333333333333
326,New Jersey,Mercer,30.736842105263158
327,New Mexico,Dona Ana,31.63736263736264
328,New Mexico,Eddy,37.41379310344828
329,New Mexico,Lea,13.317073170731707
330,New Mexico,San Juan,39.23076923076923
331,New Mexico,Santa Fe,9.857142857142858
332,New Mexico,Taos,26.0
333,New York,Albany,36.967032967032964
334,New York,Bronx,41.25
335,New York,Chautauqua,34.46153846153846
336,New York,Dutchess,23.384615384615383
337,New York,Erie,36.40217391304348
338,New York,Essex,37.83516483516483
339,New York,Hamilton,35.93258426966292
340,New York,Kings,31.47252747252747
341,New York,Monroe,37.84782608695652
342,New York,Nassau,28.617977528089888
343,New York,New York,39.45652173913044
344,New York,Niagara,32.93333333333333
345,New York,Oneida,25.417582417582416
346,New York,Onondaga,38.741573033707866
347,New York,Orange,37.120879120879124
348,New York,Oswego,33.285714285714285
349,New York,Putnam,23.626373626373628
350,New York,Queens,37.858695652173914
351,New York,Richmond,35.92134831460674
352,New York,Rockland,35.13186813186813
353,New York,Saratoga,35.83050847457627
354,New York,St. Lawrence,38.31868131868132
355,New York,Steuben,32.68478260869565
356,New York,Suffolk,36.89010989010989
357,New York,Tompkins,34.48275862068966
358,New York,Wayne,35.74576271186441
359,New York,Westchester,35.266666666666666
360,North Carolina,Alexander,7.034883720930233
361,North Carolina,Avery,37.67796610169491
362,North Carolina,Beaufort,2.934065934065934
363,North Carolina,Brunswick,10.034090909090908
364,North Carolina,Buncombe,7.857142857142857
365,North Carolina,Caldwell,0.03333333333333333
366,North Carolina,Carteret,34.724137931034484
367,North Carolina,Caswell,6.465116279069767
368,North Carolina,Catawba,29.476744186046513
369,North Carolina,Cumberland,22.65
370,North Carolina,Davidson,25.76923076923077
371,North Carolina,Durham,13.538461538461538
372,North Carolina,Edgecombe,19.19298245614035
373,North Carolina,Guilford,18.933333333333334
374,North Carolina,Haywood,2.8351648351648353
375,North Carolina,Jackson,21.0
376,North Carolina,Johnston,25.022222222222222
377,North Carolina,Macon,31.310344827586206
378,North Carolina,Martin,0.06593406593406594
379,North Carolina,Mecklenburg,38.532786885245905
380,North Carolina,Mitchell,20.160714285714285
381,North Carolina,Montgomery,32.85
382,North Carolina,New Hanover,17.785714285714285
383,North Carolina,Northampton,17.142857142857142
384,North Carolina,Person,1.7471264367816093
385,North Carolina,Pitt,17.6
386,North Carolina,Rowan,28.837209302325583
387,North Carolina,Swain,30.015384615384615
388,North Carolina,Wake,27.32608695652174
389,North Dakota,Billings,32.40659340659341
390,North Dakota,Burke,33.395604395604394
391,North Dakota,Burleigh,33.09782608695652
392,North Dakota,Cass,34.1123595505618
393,North Dakota,Dunn,32.26373626373626
394,North Dakota,McKenzie,32.12222222222222
395,North Dakota,Mercer,34.08791208791209
396,North Dakota,Oliver,33.64835164835165
397,North Dakota,Ward,32.714285714285715
398,North Dakota,Williams,2.197802197802198
399,Ohio,Adams,25.3
400,Ohio,Allen,29.560439560439562
401,Ohio,Ashtabula,0.65
402,Ohio,Athens,25.923076923076923
403,Ohio,Belmont,17.78021978021978
404,Ohio,Butler,34.81318681318681
405,Ohio,Clark,26.89010989010989
406,Ohio,Clermont,26.21978021978022
407,Ohio,Clinton,33.774193548387096
408,Ohio,Columbiana,3.4166666666666665
409,Ohio,Cuyahoga,45.93478260869565
410,Ohio,Delaware,32.903225806451616
411,Ohio,Fayette,29.033333333333335
412,Ohio,Franklin,35.619565217391305
413,Ohio,Gallia,11.835164835164836
414,Ohio,Geauga,36.58064516129032
415,Ohio,Greene,33.74193548387097
416,Ohio,Hamilton,45.27173913043478
417,Ohio,Harrison,5.875
418,Ohio,Jefferson,34.747252747252745
419,Ohio,Knox,34.645161290322584
420,Ohio,Lake,29.10989010989011
421,Ohio,Lawrence,23.7
422,Ohio,Licking,34.45161290322581
423,Ohio,Lorain,28.517857142857142
424,Ohio,Lucas,29.033333333333335
425,Ohio,Madison,33.096774193548384
426,Ohio,Mahoning,30.65
427,Ohio,Medina,33.61538461538461
428,Ohio,Miami,34.225806451612904
429,Ohio,Montgomery,40.91111111111111
430,Ohio,Morgan,3.541176470588235
431,Ohio,Noble,31.566666666666666
432,Ohio,Portage,30.901960784313726
433,Ohio,Preble,36.54347826086956
434,Ohio,Scioto,13.164835164835164
435,Ohio,Stark,37.395604395604394
436,Ohio,Summit,33.747252747252745
437,Ohio,Trumbull,28.75
438,Ohio,Warren,32.45054945054945
439,Ohio,Washington,35.645161290322584
440,Ohio,Wood,29.322580645161292
441,Oklahoma,Canadian,31.0561797752809
442,Oklahoma,Carter,34.36666666666667
443,Oklahoma,Cleveland,36.4
444,Oklahoma,Comanche,29.865168539325843
445,Oklahoma,Creek,33.40449438202247
446,Oklahoma,Dewey,29.651685393258425
447,Oklahoma,Garfield,3.197674418604651
448,Oklahoma,Johnston,37.0
449,Oklahoma,Kay,29.51685393258427
450,Oklahoma,Mayes,6.108108108108108
