,State Name,County Name,Arithmetic Mean,AQI
0,Alabama,DeKalb,0.03022976666666667,31.583333333333332
1,Alabama,Jefferson,0.024297166666666665,29.766666666666666
2,Alaska,Denali ,0.03694213333333333,35.5
3,Arizona,Cochise,0.037698796610169505,39.40677966101695
4,Arizona,Coconino,0.038844311258278155,40.66225165562914
5,Arizona,Gila,0.03535378021978025,37.43956043956044
6,Arizona,La Paz,0.03553436263736263,39.45054945054945
7,Arizona,Maricopa,0.02242211947626843,30.379705400981997
8,Arizona,Navajo,0.03607318333333333,37.43333333333333
9,Arizona,Pinal,0.038553322222222235,41.34444444444444
10,Arizona,Yavapai,0.03780797802197803,40.142857142857146
11,Arizona,Yuma,0.0312729120879121,38.15384615384615
12,Arkansas,Clark,0.025659400000000002,30.433333333333334
13,Arkansas,Crittenden,0.023869978021978013,27.747252747252748
14,Arkansas,Newton,0.032342857142857145,32.527472527472526
15,Arkansas,Polk,0.032385943820224736,32.87640449438202
16,Arkansas,Pulaski,0.02511720329670329,27.86813186813187
17,Arkansas,Washington,0.028260324175824164,31.895604395604394
18,California,Fresno,0.03087179338842975,36.64462809917355
19,California,Inyo,0.03814553846153846,36.86538461538461
20,California,Kings,0.022154274725274727,29.285714285714285
21,California,Mariposa,0.03914746666666667,39.333333333333336
22,California,Nevada,0.03845842975206611,38.59504132231405
23,California,Riverside,0.038290802197802204,38.714285714285715
24,California,San Benito,0.02719598333333334,35.21666666666667
25,California,San Bernardino,0.043910883333333345,43.6
26,California,San Diego,0.0177085,18.5
27,California,San Luis Obispo,0.026157685483870954,30.548387096774192
28,California,Santa Barbara,0.027259977611940312,32.57089552238806
29,California,Shasta,0.03793235000000001,38.65
30,California,Tulare,0.027674283333333327,32.016666666666666
31,California,Ventura,0.028742704444444434,36.98222222222222
32,Colorado,Adams,0.0223738,31.866666666666667
33,Colorado,Arapahoe,0.03554028695652174,38.869565217391305
34,Colorado,Boulder,0.03494064406779661,38.40677966101695
35,Colorado,Clear Creek,0.04379281578947369,42.28947368421053
36,Colorado,Denver,0.021144174311926604,28.174311926605505
37,Colorado,Douglas,0.03453554999999999,38.2
38,Colorado,El Paso,0.034803108333333325,38.68333333333333
39,Colorado,Garfield,0.027986483516483522,34.34065934065934
40,Colorado,Gilpin,0.04498836666666666,44.166666666666664
41,Colorado,Gunnison,0.04519090000000001,43.766666666666666
42,Colorado,Jefferson,0.03583769444444445,37.983333333333334
43,Colorado,La Plata,0.03855567741935483,38.45161290322581
44,Colorado,Larimer,0.03815503765690375,40.12133891213389
45,Colorado,Mesa,0.03419098901098901,36.34065934065934
46,Colorado,Montezuma,0.03525434437086093,38.086092715231786
47,Colorado,Rio Blanco,0.032125290322580644,33.67741935483871
48,Colorado,Weld,0.026022263157894736,34.31578947368421
49,Connecticut,Windham,0.03097818333333334,32.3
50,Country Of Mexico,SONORA,0.026813560439560433,36.38461538461539
51,Delaware,Kent,0.02895038333333333,31.616666666666667
52,Delaware,New Castle,0.024265379120879144,27.78021978021978
53,Delaware,Sussex,0.028937158333333338,31.6
54,Florida,Alachua,0.029175923076923085,35.252747252747255
55,Florida,Bay,0.03271826666666666,33.77777777777778
56,Florida,Duval,0.029240454212454206,34.908424908424905
57,Florida,Holmes,0.029567655555555548,34.34444444444444
58,Florida,Indian River,0.036371,37.5
59,Florida,Liberty,0.02952436666666667,32.43333333333333
60,Florida,Marion,0.028653901098901105,36.07692307692308
61,Florida,Okaloosa,0.029156131868131884,33.10989010989011
62,Florida,Palm Beach,0.032289092485549155,35.71098265895954
63,Florida,Pasco,0.03078190659340661,36.7032967032967
64,Florida,Polk,0.029831467032967032,36.120879120879124
65,Florida,Sarasota,0.030113147058823547,34.94117647058823
66,Georgia,Clarke,0.028433156249999997,31.5625
67,Georgia,DeKalb,0.019094149999999994,25.266666666666666
68,Georgia,Pike,0.030346999999999996,31.70175438596491
69,Idaho,Butte,0.04080626666666667,39.28333333333333
70,Idaho,Idaho,0.03242403703703703,31.87037037037037
71,Illinois,Champaign,0.025271533333333335,26.516666666666666
72,Illinois,Clark,0.025353202247191012,28.06741573033708
73,Illinois,Cook,0.02549615517241379,27.74137931034483
74,Illinois,Jo Daviess,0.030970900000000013,31.116666666666667
75,Illinois,Madison,0.02650501666666667,27.766666666666666
76,Indiana,Allen,0.027403532967032965,29.406593406593405
77,Indiana,Bartholomew,0.0278216404494382,29.573033707865168
78,Indiana,Boone,0.02634730232558139,28.325581395348838
79,Indiana,Brown,0.027156472527472525,30.846153846153847
80,Indiana,Carroll,0.02625194444444444,27.91111111111111
81,Indiana,Clark,0.026444351648351645,28.956043956043956
82,Indiana,Delaware,0.027248978021978013,29.13186813186813
83,Indiana,Elkhart,0.02588414772727272,28.147727272727273
84,Indiana,Floyd,0.02315348351648351,28.208791208791208
85,Indiana,Greene,0.0285565054945055,29.9010989010989
86,Indiana,Hamilton,0.02687693406593408,29.252747252747252
87,Indiana,Hendricks,0.025043450549450546,27.373626373626372
88,Indiana,Howard,0.025876824175824178,27.747252747252748
89,Indiana,Knox,0.026508933333333328,28.016666666666666
90,Indiana,LaPorte,0.02748268333333333,29.855555555555554
91,Indiana,Lake,0.022965048192771086,26.650602409638555
92,Indiana,Madison,0.02772552747252748,29.054945054945055
93,Indiana,Marion,0.023308873626373624,26.14010989010989
94,Indiana,Perry,0.029599428571428575,30.725274725274726
95,Indiana,Porter,0.025130843575419,28.050279329608937
96,Indiana,Posey,0.026638104651162783,28.802325581395348
97,Indiana,Shelby,0.02488351648351647,27.01098901098901
