"Table 1-37:  U.S. Air Carrier Aircraft Departures, Enplaned Revenue Passengers, and Enplaned Revenue Tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Medium hubs,"36,539,613","51,664,627","65,770,376","80,466,373","98,078,665","106,083,226","110,164,411","118,495,021","121,854,130","121,225,946","122,426,786","126,721,825","114,834,281","121,321,881","128,890,703","114,814,128","109,533,967","130,219,680","134,565,007","133,408,482","137,461,398","134,323,808","125,641,077","128,832,437","122,278,846","119,132,112","117,108,174","116,227,491","123,896,419","130,408,723","137,034,606","159,280,740","167,314,064"
Small hubs,"19,406,607","23,393,324","24,240,726","30,771,383","32,641,376","38,031,895","36,772,371","34,425,906","33,640,035","37,457,337","36,930,578","38,716,404","38,868,053","40,365,305","36,146,883","37,259,525","42,399,474","50,442,760","52,113,189","52,585,803","55,996,581","53,896,808","54,918,654","54,404,550","54,482,231","56,621,542","57,580,965","61,315,174","62,883,972","64,395,630","66,116,559","64,654,709","72,738,099"
Nonhubs,"6,860,024","8,671,525","8,823,251","9,711,146","11,246,655","10,950,704","12,215,457","13,339,478","14,462,289","15,029,766","15,475,171","17,279,264","17,481,354","18,364,860","16,334,664","14,799,033","16,398,439","17,521,160","19,344,996","19,212,364","19,255,959","19,366,555","17,903,190","19,044,845","20,188,937","20,474,041","21,277,540","22,839,678","21,734,603","22,097,692","23,926,550","26,055,035","24,872,179"
ENPLANED REVENUE TONSc,"3,661,061","5,088,313","4,024,470","6,298,824","7,614,511","7,460,193","8,205,632","8,678,845","9,378,832","10,362,572","13,890,295","14,141,250","14,963,928","15,103,546","20,012,681","13,426,374","13,162,764","13,886,558","14,479,679","14,322,071","14,151,899","12,699,402","11,676,897","12,441,487","12,293,358","12,188,582","12,235,666","12,566,433","12,826,635","13,299,428","14,219,520","14,954,600","15,193,474"
"Freight, total","2,764,763","3,562,187","2,601,027","4,732,726","6,090,057","5,767,386","6,388,666","6,762,897","7,216,251","8,077,510","11,531,574","11,840,240","12,118,972","12,768,706","15,803,874","12,573,938","12,320,866","13,142,707","13,829,476","13,733,012","13,639,069","12,084,206","11,152,712","11,936,668","11,783,201","11,692,218","11,736,495","12,066,041","12,250,247","12,774,959","13,605,357","14,349,029","14,595,064"
Large hubs,"2,265,665","3,008,311","2,047,988","3,001,217","3,201,942","3,156,651","3,322,526","3,641,468","3,998,505","4,220,679","5,301,147","5,504,064","5,436,429","6,110,283","6,389,484","5,352,354","5,405,328","5,632,395","5,568,744","5,424,575","5,476,119","4,465,268","3,793,064","4,068,007","4,089,717","4,044,609","3,968,843","4,062,234","4,131,279","4,290,456","4,627,493","4,598,627","4,654,941"
Medium hubs,"358,044","414,325","469,057","1,446,744","1,970,891","1,947,833","2,144,025","2,300,815","2,325,320","2,574,194","4,402,498","4,380,257","4,684,734","4,743,228","6,978,131","5,410,157","4,218,527","4,600,194","4,855,050","4,885,370","4,786,711","4,602,841","4,720,622","5,135,044","4,974,768","5,032,586","5,132,960","2,936,281","5,372,098","5,569,577","5,898,096","6,610,677","6,640,919"
Small hubs,"99,133","73,795","48,127","191,358","576,793","440,924","501,098","422,269","527,953","740,038","977,937","1,032,040","1,055,401","948,867","1,261,654","923,498","1,824,826","1,975,801","2,031,788","1,985,796","2,019,993","1,801,030","1,819,053","1,968,190","1,971,395","1,994,791","2,061,269","4,488,470","2,129,980","2,184,983","2,258,212","2,232,877","2,337,477"
Nonhubs,"41,922","65,756","35,855","93,407","255,287","105,834","317,193","262,235","252,033","420,470","634,561","641,329","660,791","711,964","848,782","543,056","687,431","709,762","715,085","723,571","678,365","648,136","558,689","535,645","501,481","440,924","429,698","438,417","453,186","488,241","569,237","646,029","672,093"
"Mail, total","896,298","1,526,125","1,423,443","1,566,098","1,524,454","1,692,807","1,816,966","1,915,948","2,162,581","2,285,062","2,358,721","2,301,010","2,844,956","2,334,840","4,208,807","852,436","841,898","743,851","650,203","589,059","512,830","615,196","524,185","504,819","510,157","496,364","499,171","500,392","576,388","524,469","614,163","605,571","598,410"
