Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
09/06/2020,47,LIBERTY SCHOOL,17-031-6005,AirNow,97,26,48.8
09/07/2020,52,CITY HALL,17-043-4002,AirNow,111,28,47.2
09/08/2020,24,COM ED MAINTENANCE BLDG,17-031-0076,AirNow,132,25,41.4
09/09/2020,37,COM ED TRAINING CENTER,17-197-1011,AirNow,115,31,43.6
09/10/2020,24,CARY GROVE HS,17-111-0001,AirNow,115,30,47.8
09/11/2020,35,Kingery Near Road #1,17-031-0119,AirNow,152,35,48.2
09/12/2020,54,LIBERTY SCHOOL,17-031-6005,AirNow,123,32,44.8
09/13/2020,44,LIBERTY SCHOOL,17-031-6005,AirNow,107,27,52.6
09/14/2020,52,CITY HALL,17-043-4002,AirNow,87,28,48.8
09/15/2020,51,LIBERTY SCHOOL,17-031-6005,AirNow,73,33,51
09/16/2020,53,LIBERTY SCHOOL,17-031-6005,AirNow,83,35,52.8
09/17/2020,46,CITY HALL,17-043-4002,AirNow,87,36,55.2
09/18/2020,39,CARY GROVE HS,17-111-0001,AirNow,87,30,51.6
09/19/2020,56,CARY GROVE HS,17-111-0001,AirNow,74,25,48
09/20/2020,60,REGIONAL OFFICE BUILDING,17-031-4007,AirNow,81,35,56.8
09/21/2020,46,CARY GROVE HS,17-111-0001,AirNow,111,35,53.8
09/22/2020,54,PERSHING SCHOOL,17-197-1002,AirNow,92,34,55.2
09/23/2020,59,Kingery Near Road #1,17-031-0119,AirNow,84,23,56.2
09/24/2020,56,SPRINGFIELD PUMP STATION,17-031-0057,AirNow,113,23,56.8
09/25/2020,57,Kingery Near Road #1,17-031-0119,AirNow,117,33,51.6
09/26/2020,57,LIBERTY SCHOOL,17-031-6005,AirNow,112,31,44.4
09/27/2020,55,LIBERTY SCHOOL,17-031-6005,AirNow,87,25,37
09/28/2020,31,LIBERTY SCHOOL,17-031-6005,AirNow,89,28,36.2
09/29/2020,22,East Chicago-Marina,18-089-0034,AirNow,99,31,43.4
09/30/2020,25,SPRINGFIELD PUMP STATION,17-031-0057,AirNow,75,26,40.6
10/01/2020,28,Kingery Near Road #1,17-031-0119,AirNow,78,26,41.4
10/02/2020,27,CITY HALL,17-043-4002,AirNow,77,32,38.8
10/03/2020,.,,,,78,27,41.8
10/04/2020,.,,,,82,23,37.2
10/05/2020,.,,,,83,32,46.4
10/06/2020,.,,,,154,28,49.8
10/07/2020,.,,,,79,28,46.2
10/08/2020,.,,,,79,21,44.8
10/09/2020,.,,,,110,35,51.2
10/10/2020,.,,,,97,36,47.2
10/11/2020,.,,,,145,23,32.8
10/12/2020,.,,,,92,23,39.8
10/13/2020,.,,,,97,23,38
10/14/2020,.,,,,87,24,43.4
10/15/2020,.,,,,72,28,46.2
10/16/2020,.,,,,63,23,36.8
10/17/2020,.,,,,73,26,36.4
10/18/2020,.,,,,99,37,48.2
10/19/2020,.,,,,74,30,41.6
10/20/2020,.,,,,79,29,53
10/21/2020,.,,,,81,23,43.4
10/22/2020,.,,,,92,34,38.2
10/23/2020,.,,,,155,28,39.2
10/24/2020,.,,,,121,24,35.4
10/25/2020,.,,,,93,24,44.6
10/26/2020,.,,,,122,24,51.4
10/27/2020,.,,,,116,28,45.8
10/28/2020,.,,,,128,20,41.4
10/29/2020,.,,,,77,23,41.6
10/30/2020,.,,,,90,32,42.4
10/31/2020,.,,,,104,28,41.6
11/01/2020,.,,,,95,39,46.8
11/02/2020,.,,,,152,32,54.6
11/03/2020,.,,,,102,28,47.2
11/04/2020,.,,,,164,33,66
11/05/2020,.,,,,97,32,53.2
11/06/2020,.,,,,93,28,44.2
11/07/2020,.,,,,120,23,40.4
11/08/2020,.,,,,112,37,54.6
11/09/2020,.,,,,83,28,49.6
11/10/2020,.,,,,114,30,48.6
11/11/2020,.,,,,105,21,43.8
11/12/2020,.,,,,125,25,48.6
11/13/2020,.,,,,82,34,47.4
11/14/2020,.,,,,118,35,62.6
11/15/2020,.,,,,186,24,67.6
11/16/2020,.,,,,96,28,55
11/17/2020,.,,,,117,39,55.8
11/18/2020,.,,,,131,31,52.6
11/19/2020,.,,,,93,36,50.6
11/20/2020,.,,,,113,24,41.2
11/21/2020,.,,,,111,33,44.8
11/22/2020,.,,,,94,34,44.6
11/23/2020,.,,,,115,43,60.4
11/24/2020,.,,,,112,25,58.4
11/25/2020,.,,,,98,27,55.6
11/26/2020,.,,,,100,36,51.8
11/27/2020,.,,,,167,41,71.4
11/28/2020,.,,,,117,32,44.2
11/29/2020,.,,,,117,28,50.6
11/30/2020,.,,,,133,27,56.2
12/01/2020,.,,,,92,23,45
12/02/2020,.,,,,91,30,42
12/03/2020,.,,,,117,21,50.2
12/04/2020,.,,,,91,32,48.8
12/05/2020,.,,,,95,34,49.8
12/06/2020,.,,,,92,25,50.8
12/07/2020,.,,,,107,24,52.4
12/08/2020,.,,,,100,28,52.4
12/09/2020,.,,,,96,39,56.2
12/10/2020,.,,,,99,34,47.6
12/11/2020,.,,,,101,43,66.2
12/12/2020,.,,,,122,35,64.6
12/13/2020,.,,,,152,47,60.8
12/14/2020,.,,,,111,35,60.2
12/15/2020,.,,,,123,36,51.2
12/16/2020,.,,,,80,41,55
12/17/2020,.,,,,126,38,59.8
12/18/2020,.,,,,113,27,48.4
12/19/2020,.,,,,140,27,52
12/20/2020,.,,,,139,31,58
12/21/2020,.,,,,133,35,57.4
12/22/2020,.,,,,113,40,60.2
12/23/2020,.,,,,151,45,58.8
12/24/2020,.,,,,110,30,55.6
12/25/2020,.,,,,94,25,50.2
12/26/2020,.,,,,126,33,55.6
12/27/2020,.,,,,105,25,45.6
12/28/2020,.,,,,153,29,51
12/29/2020,.,,,,124,31,44.2
12/30/2020,.,,,,101,28,43.2
12/31/2020,.,,,,98,30,44.2
